21,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Lever Height,Lever Length,Hand Wheel Spindle Height,Hand Wheel Diameter,Hand Wheel Spindle Length,Hand Wheel Spindle Offset,weight RF/RTJ,weight BW,RF-F/F Short Pattern,RTJ-F/F Sort Pattern,BW-F/F Short Pattern,RTJ Addition,RTJ Gap,Long Pattern,Short Pattern,Section - Full Bore Valve
0+1/2,15,5.5,5.94,N/A,3,5,0,0,0,0,6,6,5.5,5.94,5.5,0.44,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
0+3/4,20,6,6.5,N/A,3,5,0,0,0,0,7,7,6,6.5,6,0.5,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1,25,6.5,7,N/A,4,7,0,0,0,0,10,10,6.5,7,6.5,0.5,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/4,32,7,7.5,N/A,4,7,0,0,0,0,12,12,7,7.5,7,0.5,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/2,40,7.5,8,7.5,4,7,0,0,0,0,14,14,7.5,8,7.5,0.5,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
2,50,8.5,9.12,8.5,6,24,6,25,13,3,18,18,8.5,9.12,8.5,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
2+1/2,65,9.5,10.12,9.5,6,24,0,0,0,0,27,23,9.5,10.12,9.5,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
3,80,11.12,11.74,11.12,7,24,7,25,13,3,29,23,11.12,11.74,11.12,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
4,100,12,12.62,12,9,36,7,25,13,3,43,40,12,12.62,12,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
6,150,15.88,16.5,18,11,36,9,25,13,3,82,68,15.88,16.5,15.88,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
8,200,19.75,20.37,20.5,12,36,11,25,13,3,166,132,16.5,17.12,16.5,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
10,250,22.38,23,22,15,53,13,25,13,3,295,239,18,18.62,18,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
12,300,25.5,26.12,25,19,60,16,25,15,5,477,382,19.5,20.12,19.75,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
14,350,30,30.62,30,20,60,17,25,15,5,584,527,22.5,23.12,22.5,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
16,400,33,33.62,33,21,60,18,25,15,5,755,605,24,24.62,24,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
18,450,36,36.62,36,23,78,21,25,15,8,905,773,26,26.62,26,0.62,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
20,500,39,39.75,39,23,78,22,25,15,8,1409,1045,28,28.75,28,0.75,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1636,1386,N/A,N/A,N/A,0.88,0.25,Long Pattern,Short Pattern,Section - Full Bore Valve
24,600,45,45.88,45,23,78,25,25,15,8,2045,1659,32,32.88,32,0.88,0.25,Long Pattern,Short Pattern,Section - Full Bore Valve
26,650,49,N/A,49,25,78,27,25,17,9,2614,2318,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
28,700,53,N/A,53,27,78,29,25,19,11,3300,2773,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
30,750,55,N/A,55,29,78,31,25,21,13,4136,3455,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
32,800,60,N/A,60,31,78,33,25,23,15,4614,4000,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
34,850,64,N/A,64,33,78,35,25,24,17,5700,N/A,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
36,900,68,N/A,68,35,78,37,25,25,19,6977,5909,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
