12,2,3,4,5,6,7,8,9,10,11,12
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Side HW Standout,Side HW Diameter,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
