54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,hole size for calc,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,13.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,135,30.2,43,21.3,40,40,73,0,34.9,7,65,6.35,13,4,N/A,0+1/2,88.9,4,0+3/4,,120,120,0+7/8,20,3.3,3.2,3.2,22.225,0+1/2,22.9,0,0,30.2,42.88,6.35,8.74,0.8,1.62,1.62,N/A,43,1.6,30.2,80,79.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,140,31.8,51,26.7,43,43,79,0,42.9,7,73,6.35,16,4,N/A,0+3/4,95.2,4,0+3/4,,125,125,0+7/8,20,3.7,3.7,3.7,22.225,0+3/4,28.2,0,0,31.8,50.8,6.35,8.74,0.8,1.66,1.66,N/A,51,1.6,31.8,86,85.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,160,35,57,33.4,48,48,89,0,50.8,7,82.5,6.35,18,4,N/A,1,108,4,0+7/8,,140,140,1,24,5.5,5,5,25.4,1,34.9,0,0,35,60.33,6.35,8.74,0.8,2.76,2.76,N/A,57,1.6,35,96,95.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,185,38.1,73,42.2,52,52,95,0,63.5,7,102,7.92,21,3,N/A,1+1/4,130.2,4,1,,150,150,1+1/8,27,7.8,7.5,7.8,28.575,1+1/4,43.7,0,0,38.1,72.23,7.92,11.91,0.8,3.91,3.91,N/A,73,1.6,38.1,102,102.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,205,44.5,79,48.3,60,60,111,0,73,7,114,7.92,23,3,N/A,1+1/2,146,4,1+1/8,,170,170,1+1/4,30,11.5,10,10.5,31.75,1+1/2,50,0,0,44.5,82.55,7.92,11.91,0.8,5.44,5.44,N/A,79,1.6,44.5,118,118.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,235,50.9,95,60.3,70,70,127,0,92.1,7,133,7.92,26,3,N/A,2,171.4,8,1,,180,180,1+1/8,27,19,17.5,18,28.575,2,62.5,0,0,50.9,101.6,7.92,11.91,0.8,8.74,8.74,N/A,95,1.6,50.9,134,134.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
