54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,hole size for calc,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,13.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0+1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0+3/8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,95,14.3,38,21.3,22,22,52,22.2,34.9,7,51,5.54,11,3,N/A,0+1/2,66.7,4,0+1/2,,75,75,0+5/8,14,1.5,1.3,1.5,15.875,0+1/2,22.9,22.225,3.175,14.3,34.14,5.54,7.14,,0.54,0.54,N/A,38,1.6,14.3,59,57.54,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,115,15.9,48,26.7,25,25,57,27.7,42.9,7,63.5,6.35,13,4,N/A,0+3/4,82.6,4,0+5/8,,90,90,0+3/4,16,1.8,1.5,1.5,19.05,0+3/4,28.2,27.78125,3.175,15.9,42.88,6.35,8.74,,0.79,0.79,N/A,48,1.6,15.9,64,63.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,125,17.5,54,33.4,27,27,62,34.5,50.8,7,70,6.35,16,4,N/A,1,88.9,4,0+5/8,,90,90,0+3/4,16,1.8,1.8,1.8,19.05,1,34.9,34.13125,3.175,17.5,50.8,6.35,8.74,,0.79,0.79,N/A,54,1.6,17.5,69,68.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,135,20.7,64,42.2,29,29,67,43.2,63.5,7,79.5,6.35,18,4,N/A,1+1/4,98.4,4,0+5/8,,95,95,0+3/4,16,2.7,2.3,2.3,19.05,1+1/4,43.7,42.8625,4.7625,20.7,60.33,6.35,8.74,,0.82,0.82,N/A,64,1.6,20.7,74,73.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,155,22.3,70,48.3,32,32,70,49.5,73,7,90.5,6.35,20,4,N/A,1+1/2,114.3,4,0+3/4,,110,110,0+7/8,20,3.7,3.2,3.7,22.225,1+1/2,50,49.2125,6.35,22.3,68.27,6.35,8.74,,1.54,1.54,N/A,70,1.6,22.3,77,76.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,165,25.4,84,60.3,37,37,73,61.9,92.1,7,108,7.92,23,5,N/A,2,127,8,0+5/8,,110,110,0+3/4,16,5.5,4.1,4.6,19.05,2,62.5,61.9125,7.9375,25.4,82.55,7.92,11.9,,1.8,1.8,N/A,84,1.6,25.4,80,80.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2+1/2,65,190,28.6,100,73,41,41,79,74.6,104.8,7,127,7.92,26,5,N/A,2+1/2,149.2,8,0+3/4,,120,120,0+7/8,20,8.2,5.9,6.8,22.225,2+1/2,75.4,74.6125,7.9375,28.6,101.6,7.92,11.9,,3.24,3.24,N/A,100,1.6,28.6,86,86.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,210,31.8,117,88.9,46,46,83,90.7,127,7,146,7.92,31,5,N/A,3,168.3,8,0+3/4,,125,125,0+7/8,20,10.5,7.3,9.1,22.225,3,91.4,90.4875,10.31875,31.8,123.83,7.92,11.9,,3.32,3.32,N/A,117,1.6,31.8,90,90.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,230,35,133,101.6,49,49,86,103.4,139.7,7,159,7.92,34,5,N/A,3+1/2,184.2,8,0+7/8,,140,140,1,24,11.8,9.6,13.2,25.4,3+1/2,104.1,103.1875,10.31875,35,131.78,7.92,11.9,,5.52,5.52,N/A,133,1.6,35,93,93.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,255,35,146,114.3,51,51,89,116.8,157.2,7,175,7.92,37,6,N/A,4,200,8,0+7/8,,140,140,1,24,16,11.8,15,25.4,4,116.8,115.8875,11.1125,35,149.23,7.92,11.91,0.8,5.52,5.52,N/A,146,1.6,35,96,96.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
