13,2,3,4,5,6,7,8,9,10,11,12,13
NB,DN,CtrToEnd,SocketDia,Socket Thk,Bore,Socket Depth,Wall Thk,45degEll_CtoE,CplgLen,HalfCplgLen,CapEndWallThk,Kg
0+1/8,6,0.44,0.44,0.125,0.299,0.38,0.125,0.44,0.25,0.62,0.19,0.028
0+1/4,8,0.53,0.575,0.149,0.394,0.38,0.149,0.44,0.25,0.62,0.19,0.028
0+3/8,10,0.62,0.71,0.158,0.523,0.38,0.158,0.53,0.25,0.69,0.19,0.056
0+1/2,15,0.75,0.875,0.184,0.652,0.38,0.184,0.62,0.38,0.88,0.25,0.085
0+3/4,20,0.88,1.085,0.193,0.854,0.5,0.193,0.75,0.38,0.94,0.25,0.14
1,25,1.06,1.35,0.224,1.079,0.5,0.224,0.88,0.5,1.12,0.38,0.25
1+1/4,32,1.25,1.695,0.239,1.41,0.5,0.239,1.06,0.5,1.19,0.38,0.36
1+1/2,40,1.5,1.935,0.25,1.64,0.5,0.25,1.25,0.5,1.25,0.44,0.51
2,50,1.62,2.426,0.273,2.097,0.62,0.273,1.5,0.75,1.62,0.5,0.76
2+1/2,65,...,2.931,0.345,2.529,0.62,0.345,1.62,0.75,1.69,0.62,1.36
3,80,...,3.56,0.375,3.128,0.62,0.375,2.25,0.75,1.75,0.75,1.64
4,100,...,4.57,0.421,4.086,0.75,0.421,2.62,0.75,1.88,0.88,3.04
