11,2,3,4,5,6,7,8,9,10,11
nb,nb,K=length,M=OD,N=OD2,L=Spogot,kG,45deg,B-Socket ID,D-Bore,J-Socket Depth
0+1/8,6,N/A,N/A,N/A,N/A,N/A,45deg,B-Socket ID,D-Bore,J-Socket Depth
0+1/4,8,30.16,27.78,14.29,9.53,0.085,45deg,14.29,7.14,10
0+3/8,10,30.16,31.75,17.46,9.53,0.115,45deg,18.26,9.53,10
0+1/2,15,33.34,38.1,21.43,9.53,0.145,45deg,22.23,12.7,10
0+3/4,20,34.93,44.45,26.99,9.53,0.2,45deg,27.78,16.67,13
1,25,42.86,57.15,33.34,9.53,0.425,45deg,34.13,21.43,13
1+1/4,32,47.63,63.5,42.07,9.53,0.7,45deg,42.86,30.16,13
1+1/2,40,50.8,76.2,48.42,9.53,0.85,45deg,49.21,34.93,13
2,50,57.15,92.08,61.12,9.53,1.35,45deg,61.91,43.66,16
2+1/2,65,63.5,107.95,73.03,9.53,2.19,45deg,74.61,53.98,16
3,80,69.85,127,88.9,9.53,3.1,45deg,90.49,66.68,16
