13,2,3,4,5,6,7,8,9,10,11,12,13
NB,DN,CtrToEnd,SocketDia,Socket Thk,Bore,Socket Depth,Wall Thk,45degEll_CtoE,CplgLen,HalfCplgLen,CapEndWallThk,Kg
0+1/8,6,11,11.2,3.18,7.6,9.5,3.18,11,6.5,16,6.4,0.028
0+1/4,8,13.5,14.6,3.78,10,9.5,3.78,11,6.5,16,6.4,0.028
0+3/8,10,15.5,18,4.01,13.3,9.5,4.01,13.5,6.5,17.5,6.4,0.056
0+1/2,15,19,22.2,4.67,16.6,9.5,4.67,15.5,9.5,22.5,7.9,0.085
0+3/4,20,22.5,27.6,4.9,21.7,12.5,4.9,19,9.5,24,7.9,0.14
1,25,27,34.3,5.69,27.4,12.5,5.69,22.5,12.5,28.5,11.2,0.25
1+1/4,32,32,43.1,6.07,35.8,12.5,6.07,27,12.5,30,11.2,0.36
1+1/2,40,38,49.2,6.35,41.6,12.5,6.35,32,12.5,32,12.7,0.51
2,50,41,61.7,6.93,53.3,16,6.93,38,19,41,15.7,0.76
2+1/2,65,N/A,74.4,8.76,64.2,16,8.76,41,19,43,19,1.36
3,80,N/A,90.3,9.52,79.4,16,9.52,57,19,44.5,22.4,1.64
4,100,N/A,115.7,10.69,103.8,19,10.69,66.5,19,48,28.4,3.04
