13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,1.65,6.85,10.4,0.49,0.57,0.11,,,,0+1/4
0+3/8,10,17.1,1.65,8.55,13.8,0.63,0.77,0.24,,,,0+3/8
0+1/2,15,21.3,2.11,10.65,17.08,1,1.22,0.59,,,,0+1/2
0+3/4,20,26.7,2.11,13.35,22.48,1.28,1.67,1.24,,,,0+3/4
1,25,33.4,2.77,16.7,27.86,2.09,2.69,3.14,,,,1
1+1/4,32,42.2,2.77,21.1,36.66,2.69,3.74,6.69,,,,1+1/4
1+1/2,40,48.3,2.77,24.15,42.76,3.11,4.54,10.29,,,,1+1/2
2,50,60.3,2.77,30.15,54.76,3.93,6.28,20.74,,,,2
2+1/2,65,73,3.05,36.5,66.9,5.26,8.77,41.05,,,,2+1/2
3,80,88.9,3.05,44.45,82.8,6.46,11.84,75.84,,,,3
3+1/2,90,101.6,3.05,50.8,95.5,7.41,14.56,114.68,,,,3+1/2
4,100,114.3,3.05,57.15,108.2,8.37,17.56,164.95,,,,4
5,125,141.3,3.4,70.65,134.5,11.56,25.76,350.16,,,,5
6,150,168.3,3.4,84.15,161.5,13.83,34.3,598.63,,,,6
8,200,219.1,3.76,109.55,211.58,19.97,55.11,1474.12,,,,8
10,250,273,4.19,136.5,264.62,27.78,82.74,3195.18,,,,10
12,300,323.8,4.57,161.9,314.66,35.98,113.7,5836.54,,,,12
14,350,355.6,6.35,177.8,342.9,54.69,146.99,10621.01,,,,14
16,400,406.4,6.35,203.2,393.7,62.65,184.32,15961.2,,,,16
18,450,457,6.35,228.5,444.3,70.57,225.53,22814.85,,,,18
20,500,508,6.35,254,495.3,78.56,271.13,31469.17,,,,20
22,550,559,6.35,279.5,546.3,86.55,320.82,42074.72,,,,22
24,600,610,6.35,305,597.3,94.53,374.59,54829.84,,,,24
26,650,660,7.92,330,644.16,127.36,453.08,86204.81,,,,26
28,700,711,7.92,355.5,695.16,137.32,516.66,108052.34,,,,28
30,750,762,7.92,381,746.16,147.29,584.34,133310.7,,,,30
32,800,813,7.92,406.5,797.16,157.25,656.08,162227.31,,,,32
34,850,864,7.92,432,848.16,167.21,731.91,195049.6,,,,34
36,900,914,7.92,457,898.16,176.97,810.22,231258.47,,,,36
