6,2,3,4,5,6
45 deg E L NB,NB,OD,radius,45 ctr to end,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,38.1,0.62,0.03
0+3/4,20,26.9875,29.36875,0.75,0.03
1,25,33.3375,38.1,0.88,0.09
1+1/4,32,42.06875,47.625,1,0.12
1+1/2,40,47.625,57.15,1.12,0.17
2,50,60.325,76.2,1.38,0.25
2+1/2,65,73.025,95.25,1.75,0.48
3,80,88.9,114.3,2,0.62
3+1/2,90,102.39375,133.35,2.25,0.76
4,100,114.3,151.60625,2.5,1.1
5,125,141.2875,189.70625,3.12,1.8
6,150,168.275,229.39375,3.75,2.75
8,200,219.075,304.8,5,5.3
10,250,273.05,381,6.25,9.8
12,300,323.85,457.2,7.5,13.6
14,350,356.39375,532.60625,8.75,18.1
16,400,405.60625,610.39375,10,23.8
18,450,457.2,685.8,11.25,30
20,500,508,762,12.5,50
22,550,558.8,838.2,13.5,N/A
24,600,610.39375,913.60625,15,71
