9,2,3,4,5,6,7,8,9
nb,nb,od,,Over Cap-E,,wt,OverCap-E1,WT KG
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,,1,N/A,0.18,1,0.05
0+3/4,20,27,,1,N/A,0.15,1,0.06
1,25,33,,1.5,N/A,0.18,1.5,0.13
1+1/4,32,42,,1.5,N/A,0.19,1.5,0.17
1+1/2,40,48,,1.5,N/A,0.2,1.5,0.23
2,50,60,,1.5,N/A,0.22,1.75,0.27
2+1/2,65,73,,1.5,N/A,0.28,2,0.45
3,80,89,,2,N/A,0.3,2.5,0.7
3+1/2,90,102,,2.5,N/A,0.32,3,1.05
4,100,114,,2.5,N/A,0.34,3,1.2
5,125,141,,3,N/A,0.38,3.5,1.9
6,150,168,,3.5,N/A,0.43,4,3.2
8,200,219,,4,N/A,0.5,5,5.7
10,250,273,,5,N/A,0.5,6,9.2
12,300,324,,6,N/A,0.5,7,13
14,350,356,,6.5,N/A,0.5,7.5,16.5
16,400,406,,7,N/A,0.5,8,22
18,450,457,,8,N/A,0.5,9,27
20,500,508,,9,N/A,0.5,10,34
22,550,559,,10,N/A,0.5,10,N/A
24,600,610,,10.5,N/A,0.5,12,45
