6,2,3,4,5,6
nb,nb,od,Ctr to E,M,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,21,1,1,0.28
0+3/4,20,27,1.12,1.12,0.29
1,25,33,1.5,1.5,0.45
1+1/4,32,42,1.88,1.88,0.77
1+1/2,40,48,2.25,2.25,1.21
2,50,60,2.5,2.5,2.25
2+1/2,65,73,3,3,3.42
3,80,89,3.38,3.38,6.21
3+1/2,90,102,3.75,3.75,N/A
4,100,114,4.12,4.12,15.53
5,125,141,4.88,4.88,23.93
6,150,168,5.62,5.62,38.59
8,200,219,7,7,71
10,250,273,8.5,8.5,120
12,300,324,10,10,184
14,350,356,11,11,300
16,400,406,12,12,425
18,450,457,13.5,13.5,590
20,500,508,15,15,790
22,550,559,16.5,16.5,1100
24,600,610,17,17,1310
