6,2,3,4,5,6
45 deg E L NB,NB,OD,radius,45 ctr to end,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,38.1,16,N/A
0+3/4,20,26.9875,29.36875,19,N/A
1,25,33.3375,38.1,22,N/A
1+1/4,32,42.06875,47.625,25,N/A
1+1/2,40,47.625,57.15,29,N/A
2,50,60.325,76.2,35,N/A
2+1/2,65,73.025,95.25,44,N/A
3,80,88.9,114.3,51,N/A
3+1/2,90,102.39375,133.35,57,N/A
4,100,114.3,151.60625,64,N/A
5,125,141.2875,189.70625,79,N/A
6,150,168.275,229.39375,95,N/A
8,200,219.075,304.8,127,13.34
10,250,273.05,381,159,24.3
12,300,323.85,457.2,190,41.31
14,350,356.39375,532.60625,222,55.84
16,400,405.60625,610.39375,254,80.81
18,450,457.2,685.8,286,115.77
20,500,508,762,318,155.72
22,550,558.8,838.2,343,205.35
24,600,610.39375,913.60625,381,266.95
