6,2,3,4,5,6
NB,NB,OD,N/A,90 ctr to end,WT KG
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,N/A,1.5,0.18
0+3/4,20,26.9875,N/A,1.5,0.2
1,25,33.3375,N/A,1.5,0.2
1+1/4,32,42.06875,N/A,1.88,0.35
1+1/2,40,47.625,N/A,2.25,0.6
2,50,60.325,N/A,3,0.94
2+1/2,65,73.025,N/A,3.75,1.7
3,80,88.9,N/A,4.5,2.75
3+1/2,90,102.39375,N/A,5.25,3.95
4,100,114.3,N/A,6,5.4
5,125,141.2875,N/A,7.5,8.85
6,150,168.275,N/A,9,15.35
8,200,219.075,N/A,12,29.9
10,250,273.05,N/A,15,57.11
12,300,323.85,N/A,18,94.82
14,350,356.39375,N/A,21,132.16
16,400,405.60625,N/A,24,204.3
18,450,457.2,N/A,27,287.84
20,500,508,N/A,30,390.9
22,550,558.8,N/A,33,523.4
24,600,610.39375,N/A,36,667.4
