6,2,3,4,5,6
45 deg E L NB,NB,OD,radius,45 ctr to end,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,38.1,0.62,N/A
0+3/4,20,26.9875,29.36875,0.75,N/A
1,25,33.3375,38.1,0.88,N/A
1+1/4,32,42.06875,47.625,1,N/A
1+1/2,40,47.625,57.15,1.12,N/A
2,50,60.325,76.2,1.38,N/A
2+1/2,65,73.025,95.25,1.75,N/A
3,80,88.9,114.3,2,N/A
3+1/2,90,102.39375,133.35,2.25,N/A
4,100,114.3,151.60625,2.5,N/A
5,125,141.2875,189.70625,3.12,N/A
6,150,168.275,229.39375,3.75,N/A
8,200,219.075,304.8,5,13.87
10,250,273.05,381,6.25,18.5
12,300,323.85,457.2,7.5,24.75
14,350,356.39375,532.60625,8.75,32
16,400,405.60625,610.39375,10,46.5
18,450,457.2,685.8,11.25,56
20,500,508,762,12.5,71.2
22,550,558.8,838.2,13.5,89
24,600,610.39375,913.60625,15,102
26,650,600.075,991.39375,16,165
28,700,711.2,1066.8,17.25,202
30,750,762,1143,18.5,220
32,800,812.8,1219.2,19.75,255
34,850,854.075,1294.60625,21,280
36,900,913.60625,1374.775,22.25,312
