15,2,3,4,5,6,7,8,9,10,11,12,13,14,15
nb,nb,do,X,Stub len sht,Stub len lg,OD,od min,od max,radius,wt short,wt long,Min,Short Pattern,Long Pattern (Standard)
0+1/4,8,N/A,N/A,X,X,X,X,X,X,N/A,N/A,Min,Short Pattern,Long Pattern (Standard)
0+3/8,10,N/A,N/A,X,X,X,X,X,X,N/A,N/A,Min,Short Pattern,Long Pattern (Standard)
0+1/2,15,21,N/A,51,76,35,20.5,22.8,3,0.05,0.08,Min,Short Pattern,Long Pattern (Standard)
0+3/4,20,27,N/A,51,76,49,25.9,28.1,3,0.06,0.1,Min,Short Pattern,Long Pattern (Standard)
1,25,33,N/A,51,102,51,32.6,35,3,0.1,0.16,Min,Short Pattern,Long Pattern (Standard)
1+1/4,32,42,N/A,51,102,64,41.4,43.6,5,0.15,0.23,Min,Short Pattern,Long Pattern (Standard)
1+1/2,40,48,N/A,51,102,73,47.5,49.9,6,0.18,0.28,Min,Short Pattern,Long Pattern (Standard)
2,50,60,N/A,64,152,92,59.5,62.4,8,0.31,0.47,Min,Short Pattern,Long Pattern (Standard)
2+1/2,65,73,N/A,64,152,105,72.2,75.3,8,0.49,0.75,Min,Short Pattern,Long Pattern (Standard)
3,80,89,N/A,64,152,127,88.1,91.3,10,0.66,1,Min,Short Pattern,Long Pattern (Standard)
3+1/2,90,102,N/A,76,152,140,100.8,104,10,0.92,1.4,Min,Short Pattern,Long Pattern (Standard)
4,100,114,N/A,76,152,157,113.5,116.7,11,1.12,1.7,Min,Short Pattern,Long Pattern (Standard)
5,125,141,N/A,76,203,186,140.5,144.3,11,1.51,2.3,Min,Short Pattern,Long Pattern (Standard)
6,150,168,N/A,89,203,216,167.5,171.3,13,2.24,3.4,Min,Short Pattern,Long Pattern (Standard)
8,200,219,N/A,102,203,270,218.3,222.1,13,3.76,5.7,Min,Short Pattern,Long Pattern (Standard)
10,250,273,N/A,127,254,324,272.3,277.2,13,6.33,9.6,Min,Short Pattern,Long Pattern (Standard)
12,300,324,N/A,152,254,381,323.1,328,13,9.1,13.8,Min,Short Pattern,Long Pattern (Standard)
14,350,356,N/A,152,305,413,354.8,359.9,13,5.08,7.7,Min,Short Pattern,Long Pattern (Standard)
16,400,406,N/A,152,305,470,405.6,411,13,5.94,9,Min,Short Pattern,Long Pattern (Standard)
18,450,457,N/A,152,305,533,456,462,13,6.93,10.5,Min,Short Pattern,Long Pattern (Standard)
20,500,508,N/A,152,305,584,507,514,13,8.91,13.5,Min,Short Pattern,Long Pattern (Standard)
22,550,559,N/A,152,305,641,558,565,13,10.2,15.5,Min,Short Pattern,Long Pattern (Standard)
24,600,610,N/A,152,305,692,609,616,13,12.47,18.9,Min,Short Pattern,Long Pattern (Standard)
