6,2,3,4,5,6
NB,NB,OD,,Ctr to End,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A
1,25,33.3375,0,25,0.12
1+1/4,32,42.06875,0,32,0.2
1+1/2,40,47.625,0,38,0.3
2,50,60.325,0,51,0.5
2+1/2,65,73.025,0,64,1.05
3,80,88.9,0,76,1.5
3+1/2,90,102.39375,0,89,2.05
4,100,114.3,0,102,3.1
5,125,141.2875,0,127,5.3
6,150,168.275,0,152,7.9
8,200,219.075,0,203,17
10,250,273.05,0,254,28.5
12,300,323.85,0,305,36
14,350,356.39375,0,356,46
16,400,405.60625,0,406,60
18,450,457.2,0,457,79
20,500,508,0,508,97
22,550,558.8,0,559,N/A
24,600,610.39375,0,610,137
