7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A
1,25,34.13125,41,25.5,51,0.36
1+1/4,32,42.8625,52,32,64,0.58
1+1/2,40,48.41875,62,38,76,0.9
2,50,60.325,81,51,102,1.86
2+1/2,65,76.2,100,63.5,127,3.12
3,80,88.9,121,76,152,5.36
3+1/2,90,101.6,140,89,178,N/A
4,100,114.3,159,101.5,203,11.24
5,125,139.7,197,127,254,20.56
6,150,165.1,237,152.5,305,33.94
8,200,219.075,313,203,406,75
10,250,273.05,391,254,508,144
12,300,323.85,467,305,610,240
14,350,355.6,533,355.5,711,330
16,400,406.4,610,406.5,813,490
18,450,457.2,686,457,914,693
20,500,508,762,508,1016,957
22,550,558.8,838,559,1118,1255
24,600,609.6,914,609.5,1219,1669
