6,2,3,4,5,6
45 deg E L NB,NB,OD,radius,45 ctr to end,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,38.1,0.62,N/A
0+3/4,20,26.9875,29.36875,0.75,N/A
1,25,33.3375,38.1,0.88,0.19
1+1/4,32,42.06875,47.625,1,0.3
1+1/2,40,47.625,57.15,1.12,0.45
2,50,60.325,76.2,1.38,0.84
2+1/2,65,73.025,95.25,1.75,1.6
3,80,88.9,114.3,2,2.6
3+1/2,90,102.39375,133.35,2.25,N/A
4,100,114.3,151.60625,2.5,5.2
5,125,141.2875,189.70625,3.12,9.08
6,150,168.275,229.39375,3.75,15
8,200,219.075,304.8,5,27
10,250,273.05,381,6.25,48.5
12,300,323.85,457.2,7.5,70.8
