9,2,3,4,5,6,7,8,9
nb,nb,od,,Over Cap-E,,wt,OverCap-E1,WT KG
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,N/A,1,N/A,0.18,1,N/A
0+3/4,20,27,N/A,1,N/A,0.15,1,N/A
1,25,33,N/A,1.5,N/A,0.18,1.5,N/A
1+1/4,32,42,N/A,1.5,N/A,0.19,1.5,N/A
1+1/2,40,48,N/A,1.5,N/A,0.2,1.5,N/A
2,50,60,N/A,1.5,N/A,0.22,1.75,N/A
2+1/2,65,73,N/A,1.5,N/A,0.28,2,N/A
3,80,89,N/A,2,N/A,0.3,2.5,N/A
3+1/2,90,102,N/A,2.5,N/A,0.32,3,N/A
4,100,114,N/A,2.5,N/A,0.34,3,N/A
5,125,141,N/A,3,N/A,0.38,3.5,N/A
6,150,168,N/A,3.5,N/A,0.43,4,N/A
8,200,219,N/A,4,N/A,0.5,5,18.5
10,250,273,N/A,5,N/A,0.5,6,27
12,300,324,N/A,6,N/A,0.5,7,42
14,350,356,N/A,6.5,N/A,0.5,7.5,52
16,400,406,N/A,7,N/A,0.5,8,73
18,450,457,N/A,8,N/A,0.5,9,93
20,500,508,N/A,9,N/A,0.5,10,153
22,550,559,N/A,10,N/A,0.5,10,198
24,600,610,N/A,10.5,N/A,0.5,12,250
