79,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Size,nb,od,1,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,3,3+1/2,4,5,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,Size,nb,od,1,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,3,3+1/2,4,5,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,Size
0+1/4,8,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+1/4,8,N/N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+1/4
0+3/8,10,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+3/8,10,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+3/8
0+1/2,15,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+1/2,15,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+1/2
0+3/4,20,N/A,1,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+3/4,20,27,1,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+3/4
1,25,N/A,1,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,33,1,0,0,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1+1/4,32,N/A,1,0,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1+1/4,32,42,1,0,0,0.17,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1+1/4
1+1/2,40,N/A,1,0,0,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1+1/2,40,48,1,0,0,0.26,0.26,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1+1/2
2,50,N/A,1,0,0,0,76,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,60,1,0,0,0,0.41,0.41,0.41,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2+1/2,65,N/A,1,0,0,0,0,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2+1/2,65,73,1,0,0,0,0,0.77,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2+1/2
3,80,N/A,1,0,0,0,0,0,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80,89,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3+1/2,90,N/A,1,0,0,0,0,0,102,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3+1/2,90,102,1,0,0,0,0,0,1.4,1.4,1.4,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3+1/2
4,100,N/A,1,0,0,0,0,0,0,102,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,114,1,0,0,0,0,0,0,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,125,N/A,1,0,0,0,0,0,0,0,127,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,130,141,1,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,150,N/A,1,0,0,0,0,0,0,0,0,140,140,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,150,168,1,0,0,0,0,0,0,0,0,3.9,3.9,3.9,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,200,219,1,0,0,0,0,0,0,0,0,0,0,152,152,152,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,200,219,1,0,0,0,0,0,0,0,0,0,0,6.5,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
10,250,273,1,0,0,0,0,0,0,0,0,0,0,0,178,178,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,250,273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
12,300,324,1,0,0,0,0,0,0,0,0,0,0,0,0,203,203,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,300,324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
14,350,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330,330,330,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,350,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
16,400,406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,356,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,400,406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
18,450,457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,381,381,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,450,457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
