6,2,3,4,5,6
NB,NB,OD,N/A,90 ctr to end,WT KG
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,N/A,38,0.18
0+3/4,20,26.9875,N/A,38,0.2
1,25,33.3375,N/A,38,0.2
1+1/4,32,42.06875,N/A,48,0.35
1+1/2,40,47.625,N/A,57,0.6
2,50,60.325,N/A,76,0.94
2+1/2,65,73.025,N/A,95,1.7
3,80,88.9,N/A,114,2.75
3+1/2,90,102.39375,N/A,133,3.95
4,100,114.3,N/A,152,5.4
5,125,141.2875,N/A,190,8.85
6,150,168.275,N/A,229,15.35
8,200,219.075,N/A,305,29.9
10,250,273.05,N/A,381,48.6
12,300,323.85,N/A,457,70
14,350,356.39375,N/A,533,94.35
16,400,405.60625,N/A,610,124.75
18,450,457.2,N/A,686,157.5
20,500,508,N/A,762,194.3
22,550,558.8,N/A,838,236
24,600,610.39375,N/A,914,268.5
26,650,600.075,N/A,991,348
28,700,711.2,N/A,1067,404
30,750,762,N/A,1143,441
32,800,812.8,N/A,1219,510
34,850,854.075,N/A,1295,560
36,900,913.60625,N/A,1372,625
38,950,965,N/A,1448,710
40,1000,1016,N/A,1524,745
42,1050,1066.8,N/A,1600,840
44,1100,1118,N/A,1676,970
46,1150,1168,N/A,1753,1055
48,1200,1219.2,N/A,1829,1134
